UMLS:C0497538	MONDO:0000385
UMLS:C1519840	MONDO:0024337
UMLS:C1336975	MONDO:0024336
UMLS:CN163181	MONDO:0000389
UMLS:C1334811	MONDO:0024338
UMLS:C0854995	MONDO:0000380
UMLS:C0154017	MONDO:0000384
UMLS:C1332536	MONDO:0000383
UMLS:CN221574	MONDO:0024331
UMLS:C0497556	MONDO:0000382
UMLS:C2827407	MONDO:0024330
UMLS:C1853276	MONDO:0012355
UMLS:C1853286	MONDO:0012353
UMLS:C1853278	MONDO:0012354
UMLS:C4510944	MONDO:0012359
UMLS:C1835933	MONDO:0012357
UMLS:C1853294	MONDO:0012351
UMLS:C1853293	MONDO:0012352
UMLS:C0403764	MONDO:0024392
UMLS:C1332528	MONDO:0024387
UMLS:C0854328	MONDO:0024389
UMLS:C0231311	MONDO:0024381
UMLS:C1707407	MONDO:0024386
UMLS:C0393770	MONDO:0024377
UMLS:C0393771	MONDO:0024379
UMLS:CN203403	MONDO:0012399
UMLS:C1864901	MONDO:0012397
UMLS:C1864900	MONDO:0012398
UMLS:C1864912	MONDO:0012392
UMLS:C1864939	MONDO:0012390
UMLS:C1864902	MONDO:0012396
UMLS:C1864910	MONDO:0012393
UMLS:C1832708	MONDO:0012394
UMLS:C1335687	MONDO:0002853
UMLS:C0238393	MONDO:0002854
UMLS:C0431111	MONDO:0002855
UMLS:C1333756	MONDO:0002856
UMLS:C1332891	MONDO:0002850
UMLS:C1334677	MONDO:0002851
UMLS:C1334678	MONDO:0002852
UMLS:C4310787	MONDO:0014839
UMLS:C4310788	MONDO:0014838
UMLS:C4310789	MONDO:0014837
UMLS:C4310790	MONDO:0014836
UMLS:C4310784	MONDO:0014842
UMLS:C4310785	MONDO:0014841
UMLS:C4310786	MONDO:0014840
UMLS:C4310780	MONDO:0014846
UMLS:C4310781	MONDO:0014845
UMLS:C4310782	MONDO:0014844
UMLS:C4310783	MONDO:0014843
UMLS:C1112577	MONDO:0002846
UMLS:C1334619	MONDO:0002847
UMLS:C1335971	MONDO:0002848
UMLS:C1333975	MONDO:0002849
UMLS:C1332276	MONDO:0002864
UMLS:C0796013	MONDO:0000200
UMLS:C1332277	MONDO:0002865
UMLS:C0013289	MONDO:0002866
UMLS:C0238337	MONDO:0002867
UMLS:C1336726	MONDO:0002860
UMLS:C1336727	MONDO:0002861
UMLS:C2205442	MONDO:0002862
UMLS:C0334481	MONDO:0002863
UMLS:C4310799	MONDO:0014828
UMLS:C4310800	MONDO:0014827
UMLS:C4225160	MONDO:0014826
UMLS:C4311047	MONDO:0014825
UMLS:C4310798	MONDO:0014829
UMLS:C4310796	MONDO:0014831
UMLS:C4310797	MONDO:0014830
UMLS:C4310791	MONDO:0014835
UMLS:C4310792	MONDO:0014834
UMLS:C4310793	MONDO:0014833
UMLS:C4310794	MONDO:0014832
UMLS:C1333757	MONDO:0002857
UMLS:C1335176	MONDO:0002858
UMLS:C1332637	MONDO:0002859
UMLS:C0334270	MONDO:0002831
UMLS:C1516864	MONDO:0002832
UMLS:C1517128	MONDO:0002833
UMLS:C1514430	MONDO:0002834
UMLS:C4225166	MONDO:0014817
UMLS:C4225167	MONDO:0014816
UMLS:C4225168	MONDO:0014815
UMLS:C4225169	MONDO:0014814
UMLS:C4225164	MONDO:0014819
UMLS:C4225165	MONDO:0014818
UMLS:C4225163	MONDO:0014820
UMLS:C4310801	MONDO:0014824
UMLS:C4225161	MONDO:0014823
UMLS:C4225666	MONDO:0014822
UMLS:C4225162	MONDO:0014821
UMLS:C1511053	MONDO:0002828
UMLS:C0349561	MONDO:0002829
UMLS:C0948039	MONDO:0002842
UMLS:C0948638	MONDO:0002843
UMLS:C1283271	MONDO:0002844
UMLS:C0877152	MONDO:0002845
UMLS:C0267154	MONDO:0002840
UMLS:C1849101	MONDO:0014806
UMLS:C4225667	MONDO:0014805
UMLS:C4225178	MONDO:0014803
UMLS:CN515063	MONDO:0014808
UMLS:C4225176	MONDO:0014807
UMLS:C4225170	MONDO:0014813
UMLS:C4225172	MONDO:0014811
UMLS:C4225173	MONDO:0014810
UMLS:C0023743	MONDO:0002839
UMLS:C0863015	MONDO:0002836
UMLS:C0334271	MONDO:0002837
UMLS:C0343676	MONDO:0002897
UMLS:C0007114	MONDO:0002898
UMLS:C2108396	MONDO:0000233
UMLS:C4505102	MONDO:0000232
UMLS:C1511934	MONDO:0002899
UMLS:C3532354	MONDO:0000231
UMLS:C0275757	MONDO:0000238
UMLS:C1859101	MONDO:0002894
UMLS:C2931317	MONDO:0002896
UMLS:C2674987	MONDO:0012218
UMLS:C1335975	MONDO:0002892
UMLS:C1836584	MONDO:0012219
UMLS:C4310745	MONDO:0014886
UMLS:C1836521	MONDO:0012223
UMLS:C1836518	MONDO:0012224
UMLS:C4310746	MONDO:0014885
UMLS:CN776839	MONDO:0014884
UMLS:C1836545	MONDO:0012221
UMLS:C1836522	MONDO:0012222
UMLS:C4310749	MONDO:0014883
UMLS:C1836506	MONDO:0012227
UMLS:C4310743	MONDO:0014889
UMLS:C1836505	MONDO:0012228
UMLS:C1836517	MONDO:0012225
UMLS:C4284088	MONDO:0014888
UMLS:C4310744	MONDO:0014887
UMLS:C1836507	MONDO:0012226
UMLS:C4310750	MONDO:0014882
UMLS:C1836573	MONDO:0012220
UMLS:C4310751	MONDO:0014881
UMLS:C4310752	MONDO:0014880
UMLS:C0040255	MONDO:0000245
UMLS:C2349994	MONDO:0000242
UMLS:C0267557	MONDO:0000249
UMLS:C0376300	MONDO:0000248
UMLS:C1836673	MONDO:0012209
UMLS:C1836682	MONDO:0012207
UMLS:C3665704	MONDO:0012208
UMLS:C4310761	MONDO:0014869
UMLS:C0268095	MONDO:0000241
UMLS:C0238013	MONDO:0000240
UMLS:C4310756	MONDO:0014875
UMLS:C2697933	MONDO:0012212
UMLS:C1836632	MONDO:0012213
UMLS:C4310757	MONDO:0014874
UMLS:C0265987	MONDO:0014873
UMLS:C1836670	MONDO:0012210
UMLS:C4310758	MONDO:0014872
UMLS:C1836669	MONDO:0012211
UMLS:C4284595	MONDO:0014878
UMLS:C1836602	MONDO:0012217
UMLS:C1836621	MONDO:0012214
UMLS:C4310754	MONDO:0014877
UMLS:C1834659	MONDO:0012215
UMLS:C4310755	MONDO:0014876
UMLS:C0259737	MONDO:0000239
UMLS:C4310759	MONDO:0014871
UMLS:C4310760	MONDO:0014870
UMLS:C4329374	MONDO:0000212
UMLS:C0013578	MONDO:0002875
UMLS:C1516426	MONDO:0002876
UMLS:C1836694	MONDO:0000211
UMLS:CN201068	MONDO:0002877
UMLS:C1336917	MONDO:0002878
UMLS:C1515301	MONDO:0002871
UMLS:C0041182	MONDO:0002872
UMLS:CN238808	MONDO:0000213
UMLS:C1514608	MONDO:0002874
UMLS:C4310770	MONDO:0014859
UMLS:C0040961	MONDO:0002870
UMLS:C4310771	MONDO:0014858
UMLS:C4310765	MONDO:0014864
UMLS:C4310766	MONDO:0014863
UMLS:C4310767	MONDO:0014862
UMLS:C4310768	MONDO:0014861
UMLS:C1836724	MONDO:0012200
UMLS:C4310762	MONDO:0014868
UMLS:C4310763	MONDO:0014867
UMLS:C4015635	MONDO:0014866
UMLS:C1836706	MONDO:0012203
UMLS:C4273970	MONDO:0012204
UMLS:C4310764	MONDO:0014865
UMLS:CN238807	MONDO:0000209
UMLS:C4014997	MONDO:0000208
UMLS:C0334286	MONDO:0002868
UMLS:C4310769	MONDO:0014860
UMLS:C0018824	MONDO:0002869
UMLS:C0009440	MONDO:0002886
UMLS:C0005395	MONDO:0002887
UMLS:C0153194	MONDO:0000222
UMLS:C1334261	MONDO:0002888
UMLS:C1320317	MONDO:0000227
UMLS:C1333097	MONDO:0002882
UMLS:C1334231	MONDO:0002883
UMLS:C1282983	MONDO:0000225
UMLS:C0027339	MONDO:0002884
UMLS:C2364003	MONDO:0002885
UMLS:C1335169	MONDO:0002880
UMLS:C4310778	MONDO:0014848
UMLS:C1519914	MONDO:0002881
UMLS:C4310779	MONDO:0014847
UMLS:C4310775	MONDO:0014853
UMLS:CN847585	MONDO:0014851
UMLS:C4310776	MONDO:0014850
UMLS:C4310772	MONDO:0014857
UMLS:C4310773	MONDO:0014856
UMLS:C4310774	MONDO:0014855
UMLS:C4283893	MONDO:0014854
UMLS:CN282827	MONDO:0000218
UMLS:C1334628	MONDO:0002879
UMLS:C1518875	MONDO:0002810
UMLS:C0153490	MONDO:0002811
UMLS:C1168225	MONDO:0002812
UMLS:C4225179	MONDO:0014802
UMLS:C4225180	MONDO:0014801
UMLS:C4225181	MONDO:0014800
UMLS:C0007121	MONDO:0002806
UMLS:C0006264	MONDO:0002807
UMLS:C1335316	MONDO:0002808
UMLS:C0341486	MONDO:0002809
UMLS:C0009374	MONDO:0002802
UMLS:C0334345	MONDO:0002804
UMLS:C0334327	MONDO:0002821
UMLS:C0302182	MONDO:0002822
UMLS:C0346117	MONDO:0002813
UMLS:C0155686	MONDO:0002815
UMLS:C0001614	MONDO:0002816
UMLS:C0040046	MONDO:0002800
UMLS:C0009377	MONDO:0002801
UMLS:C0221468	MONDO:0024299
UMLS:C0744333	MONDO:0024292
UMLS:C1510471	MONDO:0024298
UMLS:C0028715	MONDO:0024297
UMLS:C0014394	MONDO:0024290
UMLS:C1332493	MONDO:0024247
UMLS:C0032858	MONDO:0000276
UMLS:C1266060	MONDO:0024246
UMLS:C1290325	MONDO:0000270
UMLS:C1707878	MONDO:0024240
UMLS:C0275933	MONDO:0000271
UMLS:C1836254	MONDO:0012267
UMLS:C1836256	MONDO:0012265
UMLS:C1836255	MONDO:0012266
UMLS:C2674949	MONDO:0012269
UMLS:C1836272	MONDO:0012260
UMLS:C1836257	MONDO:0012264
UMLS:C1836271	MONDO:0012261
UMLS:C2750404	MONDO:0012262
UMLS:C1285162	MONDO:0024236
UMLS:C0554114	MONDO:0000286
UMLS:C0154671	MONDO:0024238
UMLS:CN200549	MONDO:0024237
UMLS:C0242993	MONDO:0000284
UMLS:C1836295	MONDO:0012256
UMLS:C1836287	MONDO:0012257
UMLS:C1836307	MONDO:0012254
UMLS:C1836305	MONDO:0012255
UMLS:C1836284	MONDO:0012258
UMLS:C1266184	MONDO:0012252
UMLS:C1836315	MONDO:0012253
UMLS:C1836336	MONDO:0012250
UMLS:CN229776	MONDO:0012251
UMLS:C0553576	MONDO:0000256
UMLS:C0031898	MONDO:0000253
UMLS:C0740441	MONDO:0000257
UMLS:C0267556	MONDO:0000250
UMLS:C1836395	MONDO:0012246
UMLS:C1836437	MONDO:0012243
UMLS:C1836436	MONDO:0012244
UMLS:C1836383	MONDO:0012247
UMLS:C1836439	MONDO:0012241
UMLS:C1836438	MONDO:0012242
UMLS:C1836447	MONDO:0012240
UMLS:C2350529	MONDO:0000266
UMLS:C0032290	MONDO:0000265
UMLS:C1836504	MONDO:0012229
UMLS:C0023076	MONDO:0000263
UMLS:C0029895	MONDO:0000262
UMLS:C0001427	MONDO:0000261
UMLS:C1836474	MONDO:0012235
UMLS:C4310736	MONDO:0014896
UMLS:C1836484	MONDO:0012232
UMLS:C4310737	MONDO:0014895
UMLS:C4310738	MONDO:0014894
UMLS:C1836482	MONDO:0012233
UMLS:C1836460	MONDO:0012238
UMLS:C1836448	MONDO:0012239
UMLS:C4310733	MONDO:0014899
UMLS:C1836473	MONDO:0012236
UMLS:C1836472	MONDO:0012237
UMLS:C4310734	MONDO:0014898
UMLS:C1836503	MONDO:0012230
UMLS:C4310739	MONDO:0014893
UMLS:C4310740	MONDO:0014892
